Month,Account,Account_Description,Cost_Center,Cost_Center_Name,Amount_SAR,Note
2025-01,5000,COGS – Food,CC-000,UNALLOCATED,95590.92,
2025-01,5000,COGS – Food,CC-210,Riyadh North DC,1174493.75,
2025-01,5000,COGS – Food,CC-220,Riyadh South DC,927231.91,
2025-01,5000,COGS – Food,CC-230,Qassim WH,556339.14,
2025-01,5000,COGS – Food,CC-240,Hail WH,432708.22,
2025-01,5010,COGS – Beverages,CC-000,UNALLOCATED,86938.78,
2025-01,5010,COGS – Beverages,CC-210,Riyadh North DC,1068187.86,
2025-01,5010,COGS – Beverages,CC-220,Riyadh South DC,843306.21,
2025-01,5010,COGS – Beverages,CC-230,Qassim WH,505983.72,
2025-01,5010,COGS – Beverages,CC-240,Hail WH,393542.9,
2025-01,5020,COGS – Household,CC-000,UNALLOCATED,89723.06,
2025-01,5020,COGS – Household,CC-210,Riyadh North DC,1102397.27,
2025-01,5020,COGS – Household,CC-220,Riyadh South DC,870313.64,
2025-01,5020,COGS – Household,CC-230,Qassim WH,522188.18,
2025-01,5020,COGS – Household,CC-240,Hail WH,406146.36,
2025-01,5030,COGS – Cosmetics,CC-000,UNALLOCATED,86990.13,
2025-01,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1068818.73,
2025-01,5030,COGS – Cosmetics,CC-220,Riyadh South DC,843804.26,
2025-01,5030,COGS – Cosmetics,CC-230,Qassim WH,506282.55,
2025-01,5030,COGS – Cosmetics,CC-240,Hail WH,393775.32,
2025-01,5100,Freight Inwards,CC-000,UNALLOCATED,3242.29,
2025-01,5100,Freight Inwards,CC-210,Riyadh North DC,39836.95,
2025-01,5100,Freight Inwards,CC-220,Riyadh South DC,31450.22,
2025-01,5100,Freight Inwards,CC-230,Qassim WH,18870.13,
2025-01,5100,Freight Inwards,CC-240,Hail WH,14676.77,
2025-01,6000,Salaries & Wages,CC-000,UNALLOCATED,116681.97,
2025-01,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),377271.71,
2025-01,6000,Salaries & Wages,CC-210,Riyadh North DC,829997.76,
2025-01,6000,Salaries & Wages,CC-220,Riyadh South DC,679089.08,
2025-01,6000,Salaries & Wages,CC-230,Qassim WH,377271.71,
2025-01,6000,Salaries & Wages,CC-240,Hail WH,301817.37,
2025-01,6000,Salaries & Wages,CC-310,Sales — Institutional,528180.39,
2025-01,6000,Salaries & Wages,CC-320,Sales — Retail channels,452726.05,
2025-01,6000,Salaries & Wages,CC-410,Finance Shared Services,226363.03,
2025-01,6020,GOSI Contributions,CC-000,UNALLOCATED,11901.56,
2025-01,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),38481.71,
2025-01,6020,GOSI Contributions,CC-210,Riyadh North DC,84659.77,
2025-01,6020,GOSI Contributions,CC-220,Riyadh South DC,69267.09,
2025-01,6020,GOSI Contributions,CC-230,Qassim WH,38481.71,
2025-01,6020,GOSI Contributions,CC-240,Hail WH,30785.37,
2025-01,6020,GOSI Contributions,CC-310,Sales — Institutional,53874.4,
2025-01,6020,GOSI Contributions,CC-320,Sales — Retail channels,46178.06,
2025-01,6020,GOSI Contributions,CC-410,Finance Shared Services,23089.03,
2025-01,6100,Rent Expense,CC-000,UNALLOCATED,104216.45,
2025-01,6100,Rent Expense,CC-100,HQ & Admin (Olaya),606539.76,
2025-01,6100,Rent Expense,CC-210,Riyadh North DC,1010899.6,
2025-01,6100,Rent Expense,CC-220,Riyadh South DC,876112.99,
2025-01,6100,Rent Expense,CC-230,Qassim WH,471753.15,
2025-01,6100,Rent Expense,CC-240,Hail WH,404359.84,
2025-01,6110,Utilities,CC-000,UNALLOCATED,90018.55,
2025-01,6110,Utilities,CC-100,HQ & Admin (Olaya),291059.96,
2025-01,6110,Utilities,CC-210,Riyadh North DC,698543.92,
2025-01,6110,Utilities,CC-220,Riyadh South DC,582119.93,
2025-01,6110,Utilities,CC-230,Qassim WH,873179.9,
2025-01,6110,Utilities,CC-240,Hail WH,465695.95,
2025-01,6200,Marketing & Advertising,CC-000,UNALLOCATED,5972.62,
2025-01,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),28967.21,
2025-01,6200,Marketing & Advertising,CC-310,Sales — Institutional,48278.68,
2025-01,6200,Marketing & Advertising,CC-320,Sales — Retail channels,115868.84,
2025-01,6220,Professional Fees,CC-000,UNALLOCATED,4486.1,
2025-01,6220,Professional Fees,CC-100,HQ & Admin (Olaya),21757.56,
2025-01,6220,Professional Fees,CC-310,Sales — Institutional,36262.61,
2025-01,6220,Professional Fees,CC-320,Sales — Retail channels,87030.27,
2025-01,6300,Logistics – 3PL,CC-000,UNALLOCATED,72508.94,
2025-01,6300,Logistics – 3PL,CC-210,Riyadh North DC,937782.35,
2025-01,6300,Logistics – 3PL,CC-220,Riyadh South DC,656447.64,
2025-01,6300,Logistics – 3PL,CC-230,Qassim WH,422002.06,
2025-01,6300,Logistics – 3PL,CC-240,Hail WH,328223.82,
2025-01,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-01,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-01,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-02,5000,COGS – Food,CC-000,UNALLOCATED,80157.58,
2025-02,5000,COGS – Food,CC-210,Riyadh North DC,984869.47,
2025-02,5000,COGS – Food,CC-220,Riyadh South DC,777528.53,
2025-02,5000,COGS – Food,CC-230,Qassim WH,466517.12,
2025-02,5000,COGS – Food,CC-240,Hail WH,362846.63,
2025-02,5010,COGS – Beverages,CC-000,UNALLOCATED,104913.72,
2025-02,5010,COGS – Beverages,CC-210,Riyadh North DC,1289039.92,
2025-02,5010,COGS – Beverages,CC-220,Riyadh South DC,1017663.09,
2025-02,5010,COGS – Beverages,CC-230,Qassim WH,610597.86,
2025-02,5010,COGS – Beverages,CC-240,Hail WH,474909.44,
2025-02,5020,COGS – Household,CC-000,UNALLOCATED,105271.43,
2025-02,5020,COGS – Household,CC-210,Riyadh North DC,1293434.98,
2025-02,5020,COGS – Household,CC-220,Riyadh South DC,1021132.88,
2025-02,5020,COGS – Household,CC-230,Qassim WH,612679.73,
2025-02,5020,COGS – Household,CC-240,Hail WH,476528.68,
2025-02,5030,COGS – Cosmetics,CC-000,UNALLOCATED,61054.92,
2025-02,5030,COGS – Cosmetics,CC-210,Riyadh North DC,750161.47,
2025-02,5030,COGS – Cosmetics,CC-220,Riyadh South DC,592232.74,
2025-02,5030,COGS – Cosmetics,CC-230,Qassim WH,355339.64,
2025-02,5030,COGS – Cosmetics,CC-240,Hail WH,276375.28,
2025-02,5100,Freight Inwards,CC-000,UNALLOCATED,2648.68,
2025-02,5100,Freight Inwards,CC-210,Riyadh North DC,32543.47,
2025-02,5100,Freight Inwards,CC-220,Riyadh South DC,25692.21,
2025-02,5100,Freight Inwards,CC-230,Qassim WH,15415.33,
2025-02,5100,Freight Inwards,CC-240,Hail WH,11989.69,
2025-02,6000,Salaries & Wages,CC-000,UNALLOCATED,118280.67,
2025-02,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),382440.84,
2025-02,6000,Salaries & Wages,CC-210,Riyadh North DC,841369.84,
2025-02,6000,Salaries & Wages,CC-220,Riyadh South DC,688393.51,
2025-02,6000,Salaries & Wages,CC-230,Qassim WH,382440.84,
2025-02,6000,Salaries & Wages,CC-240,Hail WH,305952.67,
2025-02,6000,Salaries & Wages,CC-310,Sales — Institutional,535417.17,
2025-02,6000,Salaries & Wages,CC-320,Sales — Retail channels,458929.01,
2025-02,6000,Salaries & Wages,CC-410,Finance Shared Services,229464.5,
2025-02,6020,GOSI Contributions,CC-000,UNALLOCATED,12064.63,
2025-02,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),39008.97,
2025-02,6020,GOSI Contributions,CC-210,Riyadh North DC,85819.72,
2025-02,6020,GOSI Contributions,CC-220,Riyadh South DC,70216.14,
2025-02,6020,GOSI Contributions,CC-230,Qassim WH,39008.97,
2025-02,6020,GOSI Contributions,CC-240,Hail WH,31207.17,
2025-02,6020,GOSI Contributions,CC-310,Sales — Institutional,54612.55,
2025-02,6020,GOSI Contributions,CC-320,Sales — Retail channels,46810.76,
2025-02,6020,GOSI Contributions,CC-410,Finance Shared Services,23405.37,
2025-02,6100,Rent Expense,CC-000,UNALLOCATED,116417.3,
2025-02,6100,Rent Expense,CC-100,HQ & Admin (Olaya),677548.68,
2025-02,6100,Rent Expense,CC-210,Riyadh North DC,1129247.78,
2025-02,6100,Rent Expense,CC-220,Riyadh South DC,978681.41,
2025-02,6100,Rent Expense,CC-230,Qassim WH,526982.3,
2025-02,6100,Rent Expense,CC-240,Hail WH,451699.11,
2025-02,6110,Utilities,CC-000,UNALLOCATED,90234.62,
2025-02,6110,Utilities,CC-100,HQ & Admin (Olaya),291758.62,
2025-02,6110,Utilities,CC-210,Riyadh North DC,700220.67,
2025-02,6110,Utilities,CC-220,Riyadh South DC,583517.23,
2025-02,6110,Utilities,CC-230,Qassim WH,875275.84,
2025-02,6110,Utilities,CC-240,Hail WH,466813.78,
2025-02,6200,Marketing & Advertising,CC-000,UNALLOCATED,1551.44,
2025-02,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),7524.5,
2025-02,6200,Marketing & Advertising,CC-310,Sales — Institutional,12540.83,
2025-02,6200,Marketing & Advertising,CC-320,Sales — Retail channels,30097.98,
2025-02,6220,Professional Fees,CC-000,UNALLOCATED,6505.24,
2025-02,6220,Professional Fees,CC-100,HQ & Admin (Olaya),31550.39,
2025-02,6220,Professional Fees,CC-310,Sales — Institutional,52584.0,
2025-02,6220,Professional Fees,CC-320,Sales — Retail channels,126201.6,
2025-02,6300,Logistics – 3PL,CC-000,UNALLOCATED,94304.07,
2025-02,6300,Logistics – 3PL,CC-210,Riyadh North DC,1219666.0,
2025-02,6300,Logistics – 3PL,CC-220,Riyadh South DC,853766.2,
2025-02,6300,Logistics – 3PL,CC-230,Qassim WH,548849.7,
2025-02,6300,Logistics – 3PL,CC-240,Hail WH,426883.09,
2025-02,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-02,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-02,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-03,5000,COGS – Food,CC-000,UNALLOCATED,67888.47,
2025-03,5000,COGS – Food,CC-210,Riyadh North DC,834123.03,
2025-03,5000,COGS – Food,CC-220,Riyadh South DC,658518.19,
2025-03,5000,COGS – Food,CC-230,Qassim WH,395110.91,
2025-03,5000,COGS – Food,CC-240,Hail WH,307308.49,
2025-03,5010,COGS – Beverages,CC-000,UNALLOCATED,87418.3,
2025-03,5010,COGS – Beverages,CC-210,Riyadh North DC,1074079.48,
2025-03,5010,COGS – Beverages,CC-220,Riyadh South DC,847957.49,
2025-03,5010,COGS – Beverages,CC-230,Qassim WH,508774.49,
2025-03,5010,COGS – Beverages,CC-240,Hail WH,395713.49,
2025-03,5020,COGS – Household,CC-000,UNALLOCATED,108321.15,
2025-03,5020,COGS – Household,CC-210,Riyadh North DC,1330905.86,
2025-03,5020,COGS – Household,CC-220,Riyadh South DC,1050715.16,
2025-03,5020,COGS – Household,CC-230,Qassim WH,630429.09,
2025-03,5020,COGS – Household,CC-240,Hail WH,490333.74,
2025-03,5030,COGS – Cosmetics,CC-000,UNALLOCATED,87635.11,
2025-03,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1076743.33,
2025-03,5030,COGS – Cosmetics,CC-220,Riyadh South DC,850060.53,
2025-03,5030,COGS – Cosmetics,CC-230,Qassim WH,510036.32,
2025-03,5030,COGS – Cosmetics,CC-240,Hail WH,396694.9,
2025-03,6000,Salaries & Wages,CC-000,UNALLOCATED,113940.56,
2025-03,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),368407.8,
2025-03,6000,Salaries & Wages,CC-210,Riyadh North DC,810497.15,
2025-03,6000,Salaries & Wages,CC-220,Riyadh South DC,663134.03,
2025-03,6000,Salaries & Wages,CC-230,Qassim WH,368407.8,
2025-03,6000,Salaries & Wages,CC-240,Hail WH,294726.24,
2025-03,6000,Salaries & Wages,CC-310,Sales — Institutional,515770.92,
2025-03,6000,Salaries & Wages,CC-320,Sales — Retail channels,442089.36,
2025-03,6000,Salaries & Wages,CC-410,Finance Shared Services,221044.66,
2025-03,6020,GOSI Contributions,CC-000,UNALLOCATED,11621.94,
2025-03,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),37577.6,
2025-03,6020,GOSI Contributions,CC-210,Riyadh North DC,82670.71,
2025-03,6020,GOSI Contributions,CC-220,Riyadh South DC,67639.67,
2025-03,6020,GOSI Contributions,CC-230,Qassim WH,37577.6,
2025-03,6020,GOSI Contributions,CC-240,Hail WH,30062.08,
2025-03,6020,GOSI Contributions,CC-310,Sales — Institutional,52608.63,
2025-03,6020,GOSI Contributions,CC-320,Sales — Retail channels,45093.11,
2025-03,6020,GOSI Contributions,CC-410,Finance Shared Services,22546.55,
2025-03,6100,Rent Expense,CC-000,UNALLOCATED,111585.59,
2025-03,6100,Rent Expense,CC-100,HQ & Admin (Olaya),649428.16,
2025-03,6100,Rent Expense,CC-210,Riyadh North DC,1082380.26,
2025-03,6100,Rent Expense,CC-220,Riyadh South DC,938062.89,
2025-03,6100,Rent Expense,CC-230,Qassim WH,505110.79,
2025-03,6100,Rent Expense,CC-240,Hail WH,432952.1,
2025-03,6110,Utilities,CC-000,UNALLOCATED,90878.45,
2025-03,6110,Utilities,CC-100,HQ & Admin (Olaya),293840.31,
2025-03,6110,Utilities,CC-210,Riyadh North DC,705216.76,
2025-03,6110,Utilities,CC-220,Riyadh South DC,587680.63,
2025-03,6110,Utilities,CC-230,Qassim WH,881520.95,
2025-03,6110,Utilities,CC-240,Hail WH,470144.51,
