GRN_ID,PO_ID,Vendor_ID,Vendor_Name,SKU,PO_Qty,Received_Qty,Receipt_Date,Match_Status
GRN-2026-5001,PO-2026-0090,V-1186,Sulaiman Group Co LLC,BV-2015,3000,3000,2026-01-21,Matched (3-way)
GRN-2026-5002,PO-2026-0398,V-1009,Bordeaux Cleaning Company,CM-4003,500,500,2026-01-22,Matched (3-way)
GRN-2026-5003,PO-2026-0045,V-1175,Desert Manufacturing Co,CM-4007,1500,1500,2026-01-26,Matched (3-way)
GRN-2026-5004,PO-2026-0084,V-1201,Jamal Marketing Co,CM-4008,4000,4000,2026-01-23,Matched (3-way)
GRN-2026-5005,PO-2026-0341,V-1141,Mada Industries Co,HH-3003,2000,2000,2026-01-10,Matched (3-way)
GRN-2026-5006,PO-2026-0447,V-1044,Euphrates Foodstuff Group,FG-1023,200,200,2026-01-14,Matched (3-way)
GRN-2026-5007,PO-2026-0140,V-1057,Zahra Industries Group,BV-2008,100,100,2026-01-22,Matched (3-way)
GRN-2026-5008,PO-2026-0499,V-1001,Faridi Cosmetics LLC,FG-1002,3000,3000,2026-01-26,Matched (3-way)
GRN-2026-5009,PO-2026-0030,V-1035,Arkan Imports Co LLC,FG-1029,3000,3000,2026-01-12,Matched (3-way)
GRN-2026-5010,PO-2026-0063,V-1024,Al-Rajhi Confectionery Co,CM-4012,500,500,2026-01-31,Matched (3-way)
GRN-2026-5011,PO-2026-0136,V-1124,Tabuk Dairy Co,BV-2011,4000,4000,2026-01-19,Matched (3-way)
GRN-2026-5012,PO-2026-0193,V-1051,Noor Marketing Co,FG-1022,2000,2000,2026-01-14,Matched (3-way)
GRN-2026-5013,PO-2026-0251,V-1186,Sulaiman Group Co LLC,BV-2013,3000,3000,2026-02-02,Matched (3-way)
GRN-2026-5014,PO-2026-0381,V-1175,Desert Manufacturing Co,CM-4018,3000,3000,2026-01-25,Matched (3-way)
GRN-2026-5015,PO-2026-0403,V-1102,Quick Supply Chain Company,CM-4005,1000,1000,2026-02-01,Matched (3-way)
GRN-2026-5016,PO-2026-0420,V-1203,Dar Print Services Trading LLC,HH-3011,500,500,2026-01-26,Matched (3-way)
GRN-2026-5017,PO-2026-0439,V-1017,Bin Laden Cosmetics Ltd,BV-2013,200,200,2026-01-22,Matched (3-way)
GRN-2026-5018,PO-2026-0009,V-1172,Amwaj Commercial Company,CM-4004,1500,1500,2026-02-04,Matched (3-way)
GRN-2026-5019,PO-2026-0023,V-1133,Kayan Hygiene Co LLC,FG-1015,2000,2000,2026-02-05,Matched (3-way)
GRN-2026-5020,PO-2026-0106,V-1105,Amwaj Marketing Company,FG-1001,200,200,2026-02-03,Matched (3-way)
GRN-2026-5021,PO-2026-0170,V-1079,Ibn Sina Materials Trading Ltd,HH-3007,1500,1500,2026-02-05,Matched (3-way)
GRN-2026-5022,PO-2026-0185,V-1174,Riyadh Holdings LLC,BV-2011,200,200,2026-02-02,Matched (3-way)
GRN-2026-5023,PO-2026-0326,V-1205,Al-Faisal Confectionery Co LLC,BV-2023,2000,2000,2026-02-03,Matched (3-way)
GRN-2026-5024,PO-2026-0533,V-1196,Khaleej Foodstuff LLC,BV-2004,5000,5000,2026-01-22,Matched (3-way)
GRN-2026-5025,PO-2026-0577,V-1056,Bayt Beverages Co,BV-2017,1500,1500,2026-01-25,Matched (3-way)
GRN-2026-5026,PO-2026-0007,V-1045,Tatweer Commercial LLC,FG-1027,3000,3000,2026-01-17,Matched (3-way)
GRN-2026-5027,PO-2026-0082,V-1056,Bayt Beverages Co,FG-1007,200,200,2026-01-16,Matched (3-way)
GRN-2026-5028,PO-2026-0271,V-1030,Bayt Foods Company,CM-4005,200,200,2026-02-02,Matched (3-way)
GRN-2026-5029,PO-2026-0528,V-1127,Dar Marketing Group,CM-4002,1500,1445,2026-01-18,Short receipt — match exception
GRN-2026-5030,PO-2026-0570,V-1188,Arkan Packaging LLC,FG-1022,200,188,2026-01-24,Short receipt — match exception
GRN-2026-5031,PO-2026-0125,V-1016,Najd Confectionery Co,HH-3024,100,100,2026-01-25,Matched (3-way)
GRN-2026-5032,PO-2026-0315,V-1029,Olaya Hygiene LLC,FG-1029,1000,1000,2026-01-15,Matched (3-way)
GRN-2026-5033,PO-2026-0580,V-1142,Al-Rashid Pharma Trading Co LLC,HH-3014,200,194,2026-01-30,Short receipt — match exception
GRN-2026-5034,PO-2026-0089,V-1070,Bayt Confectionery Co,FG-1008,2000,2000,2026-01-17,Matched (3-way)
GRN-2026-5035,PO-2026-0096,V-1119,Arabian Snacks Company,BV-2001,4000,4296,2026-01-29,Qty over-receipt — match exception
GRN-2026-5036,PO-2026-0477,V-1084,Jamal Supply Chain Co LLC,BV-2016,500,500,2026-01-29,Matched (3-way)
GRN-2026-5037,PO-2026-0483,V-1079,Ibn Sina Materials Trading Ltd,HH-3003,2000,2000,2026-01-18,Matched (3-way)
GRN-2026-5038,PO-2026-0498,V-1175,Desert Manufacturing Co,HH-3014,5000,5000,2026-02-05,Matched (3-way)
GRN-2026-5039,PO-2026-0101,V-1110,Premier Manufacturing Group,HH-3006,2000,2000,2026-01-19,Matched (3-way)
GRN-2026-5040,PO-2026-0282,V-1038,Sahara Trading Co LLC,FG-2241,1000,1000,2026-02-09,Matched (3-way)
GRN-2026-5041,PO-2026-0514,V-1094,Arabian Wholesale Co LLC,FG-1015,500,486,2026-01-26,Short receipt — match exception
GRN-2026-5042,PO-2026-0031,V-1149,Euphrates Marketing LLC,CM-4001,3000,3000,20/01/2026,Matched (3-way)
GRN-2026-5043,PO-2026-0103,V-1133,Kayan Hygiene Co LLC,CM-4002,1000,1000,2026-02-05,Matched (3-way)
GRN-2026-5044,PO-2026-0156,V-1005,Arabian Confectionery Co LLC,BV-2015,1000,1000,2026-02-05,Matched (3-way)
GRN-2026-5045,PO-2026-0211,V-1008,Levant Hygiene Ltd,FG-1008,4000,4000,2026-01-21,Matched (3-way)
GRN-2026-5046,PO-2026-0216,V-1163,Tabuk Group Company,CM-4009,3000,3000,2026-01-21,Matched (3-way)
GRN-2026-5047,PO-2026-0366,V-1065,Zahra Industries Company,BV-2011,200,200,2026-02-07,Matched (3-way)
GRN-2026-5048,PO-2026-0510,V-1030,Bayt Foods Company,BV-2006,500,500,03/02/2026,Matched (3-way)
GRN-2026-5049,PO-2026-0017,V-1110,Premier Manufacturing Group,CM-4010,1500,1500,2026-01-21,Matched (3-way)
GRN-2026-5050,PO-2026-0081,V-1132,Mawared Snacks Group,FG-1025,4000,4000,2026-01-21,Matched (3-way)
GRN-2026-5051,PO-2026-0128,V-1133,Kayan Hygiene Co LLC,HH-3017,100,100,2026-02-07,Matched (3-way)
GRN-2026-5052,PO-2026-0190,V-1136,Premier Cleaning Group,BV-2020,100,105,2026-01-26,Qty over-receipt — match exception
GRN-2026-5053,PO-2026-0350,V-1185,Mada Packaging Company,CM-4017,1000,1000,2026-01-24,Matched (3-way)
GRN-2026-5054,PO-2026-0430,V-1024,Al-Rajhi Confectionery Co,BV-2017,5000,5000,2026-01-31,Matched (3-way)
GRN-2026-5055,PO-2026-0521,V-1148,Kayan Marketing Group,FG-1019,100,100,2026-02-07,Matched (3-way)
GRN-2026-5056,PO-2026-0525,V-1133,Kayan Hygiene Co LLC,CM-4006,3000,3000,2026-01-22,Matched (3-way)
GRN-2026-5057,PO-2026-0558,V-1114,Al-Rajhi Materials Trading Ltd,FG-1020,5000,5000,2026-02-08,Matched (3-way)
GRN-2026-5058,PO-2026-0060,V-1057,Zahra Industries Group,FG-1001,200,200,2026-02-07,Matched (3-way)
GRN-2026-5059,PO-2026-0181,V-1062,Riyadh Co Ltd,CM-4015,3000,3000,2026-02-07,Matched (3-way)
