Date,Account,Account_Description,Debit,Credit,Reference,Memo
2023-01-01,1100,Accounts Receivable,1071545.79,0.0,AR-2023-0010,
2023-01-01,4000,Revenue – Modern Trade,0.0,1071545.79,AR-2023-0010,
2023-01-01,1100,Accounts Receivable,405207.24,0.0,AR-2023-0514,
2023-01-01,4020,Revenue – Government,0.0,405207.24,AR-2023-0514,
2023-01-01,1100,Accounts Receivable,1036133.4,0.0,AR-2023-0534,
2023-01-01,4020,Revenue – Government,0.0,1036133.4,AR-2023-0534,
2023-01-01,1100,Accounts Receivable,878864.89,0.0,AR-2023-0781,
2023-01-01,4030,Revenue – Catering,0.0,878864.89,AR-2023-0781,
2023-01-01,5000,COGS – Food,135942.12,0.0,INV-2023-0063,Antibiotics + analgesics — bulk SKUs
2023-01-01,2000,Accounts Payable,0.0,135942.12,INV-2023-0063,
2023-01-01,5000,COGS – Food,65860.91,0.0,INV-2023-0296,Bulk SKUs — monthly replenishment
2023-01-01,2000,Accounts Payable,0.0,65860.91,INV-2023-0296,
2023-01-01,5030,COGS – Cosmetics,164371.13,0.0,INV-2023-0805,OTC & consumer health replenishment
2023-01-01,2000,Accounts Payable,0.0,164371.13,INV-2023-0805,
2023-01-01,6210,Printing & Stationery,5410.65,0.0,INV-2023-1213,POS shelf labels
2023-01-01,2000,Accounts Payable,0.0,5410.65,INV-2023-1213,
2023-01-01,6100,Rent Expense,380000.0,0.0,RENT-2023-01,
2023-01-01,1000,Cash – SNB Operating SAR,0.0,380000.0,RENT-2023-01,
2023-01-01,1000,Cash – SNB Operating SAR,38000000.0,0.0,OB-2023,Opening balance Jan 1 2023
2023-01-01,1010,Cash – Riyad Bank FX USD,8100000.0,0.0,OB-2023,Opening balance Jan 1 2023
2023-01-01,1020,Cash – ANB Payroll SAR,1900000.0,0.0,OB-2023,Opening balance Jan 1 2023
2023-01-02,1100,Accounts Receivable,532920.58,0.0,AR-2023-0360,
